date,level,sun_duration,cloud_cover,precipitation,snow_accumulation,snow_depth,temperature_avg,temperature_min,temperature_max
2010-04-13,279.18,0.0,100.0,0.9,0.0,0.0,6.7,5.5,7.8
2010-04-14,279.17,1.4,83.0,9.9,0.0,0.0,7.8,6.4,11.0
2010-04-15,279.15,9.3,50.0,0.4,0.0,0.0,11.1,4.1,18.0
2010-04-16,279.14,10.3,37.0,0.0,0.0,0.0,12.7,4.3,18.4
2010-04-17,279.13,8.6,37.0,0.0,0.0,0.0,12.3,9.2,18.0
2010-04-18,279.13,0.0,83.0,0.9,0.0,0.0,8.6,6.2,11.2
2010-04-19,279.09,7.0,50.0,2.4,0.0,0.0,12.7,5.5,19.5
2010-04-20,279.05,12.4,20.0,0.0,0.0,0.0,14.9,4.8,22.0
2010-04-21,279.02,11.8,30.0,1.4,0.0,0.0,15.1,8.8,22.5
2010-04-22,278.98,0.0,90.0,3.4,0.0,0.0,8.0,7.4,15.2
2010-04-23,278.96,4.7,87.0,0.0,0.0,0.0,13.4,5.6,18.0
2010-04-24,279.03,4.7,63.0,0.0,0.0,0.0,13.9,10.4,19.5
2010-04-25,279.04,8.2,37.0,0.0,0.0,0.0,15.2,9.3,21.0
2010-04-26,279.01,10.7,43.0,0.0,0.0,0.0,16.8,8.4,24.6
2010-04-27,278.97,4.5,90.0,9.3,0.0,0.0,15.9,11.6,19.8
2010-04-28,278.94,12.7,20.0,0.0,0.0,0.0,15.8,7.9,21.5
2010-04-29,278.95,13.0,10.0,0.0,0.0,0.0,16.6,7.4,24.6
2010-04-30,278.91,12.2,23.0,0.0,0.0,0.0,18.1,10.7,24.6
2010-05-01,278.86,11.6,47.0,0.0,0.0,0.0,18.0,11.9,23.2
2010-05-02,278.87,0.0,97.0,0.0,0.0,0.0,14.4,13.1,17.9
2010-05-03,278.87,0.7,80.0,5.4,0.0,0.0,14.1,12.1,18.2
2010-05-04,278.84,0.0,93.0,10.8,0.0,0.0,14.0,11.8,15.6
2010-05-05,278.83,0.0,100.0,8.4,0.0,0.0,14.5,13.3,16.2
2010-05-06,278.74,5.9,73.0,14.8,0.0,0.0,12.1,10.9,17.2
2010-05-07,278.77,5.9,67.0,2.6,0.0,0.0,11.7,8.0,16.9
2010-05-08,278.76,0.2,77.0,0.1,0.0,0.0,11.2,7.4,13.5
2010-05-09,278.74,7.8,77.0,3.7,0.0,0.0,14.2,9.4,19.5
2010-05-10,278.74,0.9,93.0,0.7,0.0,0.0,13.5,11.8,15.9
2010-05-11,278.77,1.9,77.0,0.7,0.0,0.0,14.7,10.7,18.7
2010-05-12,278.77,4.0,83.0,3.7,0.0,0.0,16.2,12.9,20.6
2010-05-13,278.74,1.0,80.0,6.1,0.0,0.0,13.5,12.2,17.6
2010-05-14,278.73,8.9,43.0,6.8,0.0,0.0,15.0,11.0,20.5
2010-05-15,278.77,0.0,100.0,2.6,0.0,0.0,11.1,10.0,14.2
2010-05-16,278.75,3.5,87.0,5.2,0.0,0.0,13.9,8.8,19.1
2010-05-17,278.72,6.0,63.0,0.0,0.0,0.0,16.2,11.4,20.0
2010-05-18,278.75,11.4,40.0,0.0,0.0,0.0,15.9,8.8,21.3
2010-05-19,278.74,11.7,53.0,0.0,0.0,0.0,14.0,4.9,18.8
2010-05-20,278.71,4.4,87.0,0.0,0.0,0.0,14.6,11.0,19.2
2010-05-21,278.64,0.5,73.0,0.0,0.0,0.0,13.7,10.7,17.5
2010-05-22,278.64,10.3,63.0,1.0,0.0,0.0,16.0,11.0,23.4
2010-05-23,278.68,10.0,57.0,0.2,0.0,0.0,17.4,11.0,23.5
